Duty Card No,Route Name,Trip Type,Pick Up Time,Drop Off Time,Shift Time
A001,GD10,IN,03:35,04:20,05:00
A001,GD09,IN,04:46,05:20,06:00
A001,GD09,OUT,05:40,06:20,05:00
A001,GD09,IN,05:46,06:20,07:00
A001,GD08,OUT,06:40,07:27,06:00
A001,GD30,OUT,08:20,09:00,08:00
A001,GD30,IN,09:53,10:45,11:00
A002,GD08,IN,03:40,04:20,05:00
A002,GD08,IN,04:40,05:20,06:00
A002,GD05,IN,05:45,06:20,07:00
A002,GD09,OUT,06:40,07:20,06:00
A002,GD21,IN,07:51,08:20,09:00
A002,GD21,OUT,09:40,10:11,09:00
A003,GD19,IN,03:35,04:20,05:00
A003,GD05,IN,04:45,05:20,06:00
A003,GD21,IN,05:51,06:20,07:00
A003,GD05,OUT,06:40,07:14,06:00
A003,GD05,IN,07:35,08:20,09:00
A003,GD05,OUT,10:40,11:15,10:00
A004,GD09,IN,03:46,04:20,05:00
A004,GD09,IN,04:46,05:20,06:00
A004,GD10,OUT,05:40,06:20,05:00
A004,GE10,IN,07:38,08:45,09:00
A004,GE05,OUT,09:15,10:00,09:00
A004,GD18,OUT,10:40,11:30,10:00
A005,GD09,IN,03:46,04:20,05:00
A005,GD09,OUT,04:40,04:50,04:00
A005,GD09,IN,04:56,05:20,06:00
A005,GD09,OUT,05:40,06:20,05:00
A005,GD21,OUT,07:40,08:20,07:00
A005,GD05,OUT,09:40,10:14,09:00
A005,CC,IN,11:00,11:30,12:00
A006,GD09,IN,03:46,04:20,05:00
A006,GD10,IN,04:48,05:20,06:00
A006,GD09,OUT,05:40,06:20,05:00
A006,GD05,OUT,07:40,08:14,07:00
A006,GD09,OUT,10:40,11:20,10:00
A007,GD08,IN,03:57,04:20,05:00
A007,GD08,IN,04:57,05:20,06:00
A007,GD08,OUT,05:40,06:27,05:00
A007,GD08,OUT,06:40,07:27,06:00
A007,GD13,OUT,08:15,08:45,08:00
A007,GD13,IN,10:15,10:45,11:00
A007,GD22,OUT,11:40,12:30,11:00
A008,GD08,IN,03:57,04:20,05:00
A008,GD08,IN,04:57,05:20,06:00
A008,GD05,OUT,05:40,06:14,05:00
A008,GD09,OUT,07:40,08:20,07:00
A008,GD21,OUT,09:40,10:11,09:00
A008,GD09,OUT,10:40,11:30,10:00
A009,GD08,IN,03:57,04:20,05:00
A009,GD06,IN,04:58,05:20,06:00
A009,GD08,OUT,05:40,06:27,05:00
A009,GD09,IN,07:28,08:20,09:00
A009,GD30,OUT,09:20,10:00,09:00
A009,GD09,IN,10:46,11:20,12:00
A010,GD05,IN,03:58,04:20,05:00
A010,GD30,IN,05:03,05:45,06:00
A010,GD13,OUT,06:15,06:45,06:00
A010,GD12,IN,07:30,08:20,09:00
A010,GD09,OUT,09:40,10:20,09:00
A010,CC,IN,10:15,10:45,11:00
A010,GD30,OUT,11:20,12:00,11:00
A011,GD30,IN,04:03,04:45,05:00
A011,GD13,OUT,05:15,05:45,05:00
A011,GE99B,IN,06:14,06:50,07:00
A011,GE99C,IN,08:58,09:40,10:00
A011,GD21,OUT,10:40,11:11,10:00
A012,GD30,IN,04:12,04:45,05:00
A012,GK03,IN,05:07,05:45,06:00
A012,GK05,IN,06:10,06:45,07:00
A012,GE54,IN,07:40,08:45,09:00
A012,GE38,OUT,09:15,10:00,09:00
A012,GD24,IN,10:16,11:20,12:00
A013,GD13,IN,04:15,04:45,05:00
A013,GK05,IN,05:16,05:45,06:00
A013,GK05,OUT,06:20,07:03,06:00
A013,GD21,IN,07:35,08:20,09:00
A013,GE99B,IN,09:04,09:40,10:00
A013,GE99B,IN,11:04,11:40,12:00
A014,GD13,IN,04:15,04:45,05:00
A014,GK05,IN,05:10,05:45,06:00
A014,GK03,OUT,06:20,06:49,06:00
A014,GD22,OUT,07:40,08:39,07:00
A014,GD22,IN,10:06,11:20,12:00
A015,GE38,OUT,01:15,01:45,01:00
A015,GD09,OUT,02:40,03:20,02:00
A015,GD30,IN,04:17,04:45,05:00
A015,GK02A,IN,05:15,05:45,06:00
A015,GE01,IN,05:55,06:35,07:00
A015,GE53,IN,07:10,07:45,08:00
A015,CC,IN,08:15,09:00,10:00
A016,GD19,IN,04:25,05:20,06:00
A016,CC,IN,06:30,07:00,08:00
A016,GD07,IN,07:46,08:20,09:00
A016,GD22,OUT,09:40,10:39,09:00
A016,GD24,OUT,11:40,12:20,11:00
A017,GD05,IN,03:45,04:20,05:00
A017,GD13,IN,05:15,05:45,06:00
A017,GD09,OUT,06:40,07:20,06:00
A017,GD19,OUT,07:40,08:32,07:00
A017,GE53,IN,09:43,10:15,11:00
A017,CC,IN,11:15,11:45,12:00
A018,GD30,OUT,05:20,06:00,05:00
A018,CC,IN,06:30,07:00,08:00
A018,GD18,OUT,07:40,08:25,07:00
A018,GE99A,IN,09:04,09:40,10:00
A018,GD22,OUT,10:40,11:39,10:00
A019,GD10,IN,03:48,04:20,05:00
A019,GD21,OUT,04:40,05:20,04:00
A019,GD09,IN,05:46,06:20,07:00
A019,GD09,OUT,06:40,07:20,06:00
A019,GD09,IN,07:28,08:20,09:00
A019,GD18,OUT,09:40,10:25,09:00
A020,GD04,IN,03:50,04:20,05:00
A020,GD30,IN,04:24,04:45,05:00
A020,GD13,OUT,05:15,05:45,05:00
A020,GE03,IN,06:05,06:50,07:00
A020,GD07,OUT,07:40,08:15,07:00
A020,GD13,OUT,09:15,09:45,09:00
A020,GD12,IN,10:30,11:20,12:00
A021,GE99C,IN,03:58,04:40,05:00
A021,GD30,OUT,05:20,06:00,05:00
A021,CC,IN,06:30,07:00,08:00
A021,CC,IN,07:30,08:00,09:00
A021,GD09,OUT,09:40,10:20,09:00
A021,CC,IN,11:00,11:30,12:00
A022,GD09,OUT,04:40,05:20,04:00
A022,GK05,IN,05:16,05:45,06:00
A022,GD09,IN,05:46,06:20,07:00
