bus_no,seat_capacity
F69818,31
F69814,31
F69828,31
F69893,31
F69958,31
F69978,31
F70367,31
F70334,31
F69472,31
F43561,31
F42867,31
F43001,31
F42930,31
F42979,31
F44182,31
F44034,31
F44064,31
F43977,31
F43962,31
F70123,31
F70019,31
F70224,31
F70264,31
F69507,31
F69618,31
F69520,31
F70455,31
F69590,31
F69592,31
F69874,31
F70478,31
F70466,31
F70419,31
F70255,31
F69614,31
F69558,31
F69562,31
F69556,31
F69549,31
F22706,31
F43803,31
F43801,31
F69810,31
F43712,31
F43102,31
F21826,31
F43115,31
F22406,31
F70233,31
F44132,31
F43038,31
F42962,31
F43519,31
F43859,31
F29601,31
F69926,31
F70364,31
F43227,31
F29758,31
F22357,31
F42612,31
F22467,31
F69466,31
F42633,31
W46779,31
F43951,47
F43806,47
W31367,47
W31357,47
W31370,47
W31372,47
W31421,47
W31422,47
W31425,47
W31430,47
W31432,47
W31423,47
W31426,47
W31427,47
W31428,47
W31429,47
W31424,47
W31433,47
W31434,47
W31435,47
W31436,47
W31437,47
W31439,47
W31440,47
W31445,47
W31447,47
W31449,47
W31442,47
W31443,47
W31446,47
W31448,47
W31450,47
W31451,47
,
,
,
,
,
